Company,Date,Title,Abstract,sentiment,sentiment_category,sentiment_abstract,sentiment_category_abstract
Apple,2016-09-13,"e.u. rules look to unify digital market, but u.s. sees protectionism","the rules will put new pressure on american tech companies, but european officials say they will unite the continent's various national economies.",0.0,Neutral,-0.1531,Neutral
Apple,2016-09-09,how to set up your own podcast recording studio,quality microphones and free recording software can get your personal audio show rolling for less money than you might think.,0.0,Neutral,0.5106,Positive
Apple,2016-09-06,"daily report: iphone season is here, but these days, surprises are rare","for almost a year, apple rumormongers have been trotting out bits and pieces about what to expect from the latest device. and often, these rumors are picked up by mainstream media.",0.3291,Positive,0.0,Neutral
Apple,2016-08-30,fact-checking apple's claims on e.u. tax ruling,the company's chief executive issued a defiant letter after ireland was ordered to collect about $14.5 billion in back taxes.,0.0,Neutral,-0.2263,Negative
Apple,2016-08-26,"cloud computing brings sprawling centers, but few jobs, to small towns","as big companies race to build oversize data networks, communities are finding that the giant buildings can operate with only about 30 people.",0.0,Neutral,0.0,Neutral
Apple,2016-08-17,converting spreadsheets in apple's numbers to excel,"apple's spreadsheet program can edit microsoft excel files, but you need to take an extra step to use those files in excel again.",0.4588,Positive,0.7184,Very Positive
Apple,2016-08-07,amazon has big plans for alexa: running the 'star trek' home,"the tech giant wants to weave its intelligent assistant into other smart gadgets, even those not made by amazon. but weakness in mobile could be an obstacle.",0.1779,Neutral,-0.6552,Very Negative
Apple,2016-07-27,"alexa, what else can you do? getting more from amazon echo","making amazon's voice-activated speaker smarter is not intuitive, but with a little tinkering, consumers can expand its skills.",0.2449,Positive,0.6059,Very Positive
Apple,2016-07-20,what's the right age for a child to get a smartphone?,"as more children get phones at 10 and younger, parents face the question of when to allow unfettered access to the internet and all its benefits and perils.",0.0,Neutral,0.5423,Positive
Apple,2016-07-15,"character, fate and yahoo",forget the years of lousy deals and seedy shenanigans: yahoo's real problem was a contradiction it couldn't resolve.,0.0,Neutral,-0.8829,Very Negative
Apple,2016-07-08,keeping podcasts under control,the ios podcasts app includes management tools to help keep your downloaded audio and video episodes from filling up your iphone.,0.0,Neutral,0.4019,Positive
Apple,2016-06-28,downloading video streams to go,some streaming services now allow temporary downloads of certain videos to watch when you do not have internet access.,0.0,Neutral,0.4588,Positive
Apple,2016-06-18,farhad's and mike's week in tech: that business of microsoft buying linkedin,"farhad and mike try to itemize microsoft's $26.2 billion bill for linkedin. uber's chinese rivalry, apple updates and other tech news.",0.0,Neutral,0.0,Neutral
Apple,2016-06-13,microsoft and apple making headlines,microsoft's planned acquisition of linkedin and apple's developer conference were the talk of tech on monday.,0.0,Neutral,0.0,Neutral
Chevron,2016-08-26,"john ellenby, visionary who helped create early laptop, dies at 75","mr. ellenby founded grid systems, where the compass was produced. it went on to become a tool for big corporations, government spies, white house officials and astronauts.",0.6705,Very Positive,0.0,Neutral
Chevron,2012-10-18,"stanford r. ovshinsky dies at 89, a self-taught maverick in electronics","a self-taught scientist, mr. ovshinsky invented the nickel-metal hybrid battery and contributed to the development of many other devices.",0.0,Neutral,0.0,Neutral
Chevron,2007-03-16,green energy enthusiasts are also betting on fossil fuels,some technology investors that portray themselves as green-friendly are inconsistent with their marketing message.,0.5423,Positive,0.0,Neutral
Chevron,2007-09-06,this just in from 2030: looming war restricts access to oil,chevron has us playing the oil game.,-0.7717,Very Negative,0.2023,Positive
Cisco Systems,2016-12-30,join our board: companies hotly pursue new wave of women in tech,"even in silicon valley, where talent wars are legion, courting female executives to join tech company boards is particularly cutthroat.",0.296,Positive,0.1027,Neutral
Cisco Systems,2016-08-27,"g.e., the 124-year-old software start-up","the industrial giant is investing big in an effort to adopt the nimble habits and digital wizardry of silicon valley. and, its c.e.o. says, there is no plan b.",0.0,Neutral,-0.128,Neutral
Cisco Systems,2016-04-21,apple services shut down in china in startling about-face,"the ibooks store and itunes movies were closed six months after they began in china, which had been more welcoming of apple than other tech companies.",0.0772,Neutral,0.4927,Positive
Cisco Systems,2015-09-16,china tries to extract pledge of compliance from u.s. tech firms,"some have received letters asking for a promise to make their products ""secure and controllable,"" a catchphrase that might mean backdoor access to private information.",0.0,Neutral,0.5719,Positive
Cisco Systems,2015-05-13,cisco's profit and sales beat wall street forecasts,"profit for cisco systems, the networking equipment giant, rose 12 percent, to $2.4 billion, in its fiscal third quarter.",0.4404,Positive,0.4404,Positive
Cisco Systems,2015-01-28,new rules in china upset western tech companies,"stringent regulations, including a requirement to share secret codes, are another form of economic protectionism, western technology companies say.",-0.3818,Negative,0.296,Positive
Cisco Systems,2014-09-29,cisco: the internet needs more control,"cisco has a novel approach for selling its big internet vision, called intercloud: there is no better way to impose government policies on the internet.",0.0,Neutral,0.4215,Positive
Cisco Systems,2014-06-18,facebook makes its own computer networking switch,"the social media giant announced that it had created a new kind of computer networking switch, potentially capable of shifting data rapidly through the largest data centers.",0.0,Neutral,0.5574,Positive
Cisco Systems,2014-04-18,heartbleed highlights a contradiction in the web,the bug that rattled the internet last week exposed the paradox that some of the web's most crucial coding depends on the efforts of volunteers.,-0.25,Negative,-0.1779,Neutral
