Date,all_stocks_Open,CAT_Open,CVX_Open,IBM_Open,JNJ_Open,JPM_Open,all_stocks_High,CAT_High,CVX_High,IBM_High,JNJ_High,JPM_High,all_stocks_Low,CAT_Low,CVX_Low,IBM_Low,JNJ_Low,JPM_Low,all_stocks_Close,CAT_Close,CVX_Close,IBM_Close,JNJ_Close,JPM_Close,all_stocks_Volume,CAT_Volume,CVX_Volume,IBM_Volume,JNJ_Volume,JPM_Volume
2014-11-17,157.95,102.31,117.95,163.7,108.88,61.71,159.16,103.22,118.71,164.97,109.49,61.89,156.5,100.45,115.27,161.69,107.61,59.89,158.69,101.7,115.75,164.16,108.3,60.38,1829674.2,2867243.2,6101329.0,3986199.4,5373734.0,11564177.8
2014-11-24,158.88,101.7,115.97,164.73,108.13,60.35,160.86,107.12,118.91,164.75,109.06,61.3,157.84,100.07,115.07,159.8,106.64,59.75,159.88,105.96,117.59,162.15,106.88,60.96,2241212.4,4667914.0,5677921.2,4818827.0,7246203.8,9940540.8
2014-12-01,159.0,106.1,117.8,162.65,106.98,61.16,160.82,106.63,117.82,163.5,108.82,61.16,157.5,97.79,108.43,161.01,106.6,59.55,158.16,99.0,111.73,161.54,108.03,60.0,2384293.5,4749513.75,9680728.25,3650874.25,6097903.5,10490649.0
2014-12-08,158.78,99.48,111.27,162.47,107.97,60.01,162.92,101.46,114.82,164.52,108.99,63.16,158.54,95.2,106.41,161.54,107.22,60.0,160.93,95.25,106.8,161.86,108.52,62.67,2267577.2,5006917.2,9264542.4,3925708.0,6981172.6,14362160.2
2014-12-15,159.89,94.17,106.17,160.84,108.22,61.85,161.1,96.17,108.15,163.33,108.47,62.85,155.59,89.39,100.42,152.84,103.63,58.79,156.85,89.75,100.86,153.06,103.96,59.16,2634912.4,7049309.2,12316852.2,5409983.8,8838123.4,20559724.0
2014-12-22,157.26,89.23,100.5,152.03,103.48,58.42,167.3,92.81,112.99,161.91,107.39,62.35,157.08,88.03,100.15,150.5,102.5,58.11,167.27,92.32,112.03,161.44,106.74,61.94,3534852.0,7786368.0,12954407.8,6554354.6,11891171.8,19313864.6
2014-12-29,168.02,92.99,112.76,162.23,106.66,62.05,168.16,94.66,114.45,163.09,106.91,63.34,165.81,92.65,112.07,159.45,103.92,61.93,166.71,93.71,113.32,160.51,105.33,62.96,1499596.75,2684733.25,5763510.75,2789585.0,5206421.25,9414918.25
2015-01-05,166.55,93.6,112.93,160.02,105.42,62.72,167.17,93.63,113.65,163.31,106.11,63.49,160.08,86.6,107.44,159.19,103.68,60.23,160.36,87.03,108.08,159.51,103.79,60.55,2155726.75,5380562.5,7434171.0,4311917.0,6102523.25,14687011.5
2015-01-12,160.82,87.28,107.87,159.67,104.34,60.64,164.0,89.28,110.44,160.34,106.5,60.9,157.74,85.17,105.56,154.03,102.94,58.27,160.74,86.89,105.88,156.44,104.58,58.83,2859165.0,6400401.0,9818602.2,4753129.8,7897863.2,20147968.0
2015-01-19,162.23,87.68,106.92,157.26,105.44,59.26,164.38,87.9,107.66,159.97,106.33,59.7,158.5,83.04,101.83,153.74,101.95,54.5,162.0,83.86,105.12,157.14,104.04,55.93,2230328.75,8138386.25,12415945.5,4768892.0,10992492.25,35768526.25
2015-01-26,162.72,84.42,104.56,156.7,101.55,56.04,165.99,87.36,109.35,159.46,103.83,57.87,160.06,83.19,103.81,151.07,100.26,55.19,164.24,86.03,108.88,156.36,102.26,56.77,2345034.8,6257248.2,8360779.8,7826599.8,12059209.0,20955900.2
